Are you an only child?,貴方は1人っ子？,Yes,はい,No,いいえ,
Can you sleep without a pillow?,枕が無くても寝れる？,Yes,はい,No,いいえ,
You listen to music with,音楽を聴くときは？,an earphone,イヤホン,a headphone,ヘッドホン,
When you sleep you turn the light,寝るときの電気は？,off,消す ,on,消さない,
Do you think human beings were born from soil?,人間は土から生まれたと思う？,Yes I do.,思う,No I don't.,思わない,
If you should cut either cord which color would you choose?,コードを切るなら？,red,赤,blue,青,
Weather tomorrow?,あ〜した天気にな〜れ？,sunny,晴れ,rainy or cloudy,雨・くもり,
Do you believe fortune-telling by blood type?,血液型性格診断は？,Yes,信じる,No,信じない,
Do you want to live near a riverbed?,河川敷近くのアパートに？,Yes,住みたい,No,住みたくない,
Are you dreaming now?,いま夢をみている？,Yes,はい,No,いいえ,
