Is there a boundary?,境い目はあるとおもう,Yes,はい,No,いいえ,
Which prefer if you keep walking?,歩き続けるならどちらがいい,in the city,街,in a harbor,港,
In the darkest place you would,もっとも暗い場所で,lay down,横たわる,close your eyes,目を瞑る,
Do you know where it came from?,どこから来たのかを知っている,Yes I do.,はい,No I don't.,いいえ,
Can you sleep in the lighted place?,明るい場所で眠ることができる,Yes I can.,はい,No I can't.,いいえ,
Which do you need?,聴診器と時計、どちらが必要だと思う,a stethoscope,聴診器,a watch,時計,
Do you think there is a better place?,今よりももっといい場所があるとおもう,Yes I do.,はい,No I don't.,いいえ,
When you open your eyes you will see,目を開くと,the sky,空がみえる,some people,人がみえる,
Do you think it is okay if you have a day you do nothing?,なにもしない日があってもいいと思う,Yes I do.,はい,No I don't.,いいえ,
When you say "thank you" you feel,ありがとうと伝えるとき,embarrassed,照れくさい,happy,嬉しくなる,
